Carrier Pad,DevKit Header,Printed Pin,Assigned System Net,Purpose
1,J1-1,3V3,+3V3_LOGIC,3.3V output
2,J1-2,3V3,+3V3_LOGIC,3.3V output
3,J1-3,EN,NC,Unused
4,J1-4,GPIO4,ID0,Cluster ID bit 0
5,J1-5,GPIO5,ID1,Cluster ID bit 1
6,J1-6,GPIO6,ID2,Cluster ID bit 2
7,J1-7,GPIO7,ID3,Cluster ID bit 3
8,J1-8,GPIO15,DF2_ESP_TX,DFPlayer #2 command TX
9,J1-9,GPIO16,DF2_TX,DFPlayer #2 return RX
10,J1-10,GPIO17,DF1_ESP_TX,DFPlayer #1 command TX
11,J1-11,GPIO18,DF1_TX,DFPlayer #1 return RX
12,J1-12,GPIO8,I2C_SDA,I2C SDA
13,J1-13,GPIO3,NC,Unused
14,J1-14,GPIO46,NC,Unused
15,J1-15,GPIO9,I2C_SCL,I2C SCL
16,J1-16,GPIO10,LED_DATA_3V3,WS2812 data to J10
17,J1-17,GPIO11,PIR_LEFT,PIR left
18,J1-18,GPIO12,PIR_CENTER,PIR center
19,J1-19,GPIO13,PIR_RIGHT,PIR right
20,J1-20,GPIO14,PCA_OE_N,PCA9685 OE via J10
21,J1-21,5V,+5V_LOGIC,5V input to DevKit
22,J1-22,GND,GND,Ground
23,J3-1,GND,GND,Ground
24,J3-2,GPIO43/TX0,NC,Unused / reserved
25,J3-3,GPIO44/RX0,NC,Unused / reserved
26,J3-4,GPIO1,NC,Unused / reserved
27,J3-5,GPIO2,NC,Unused / reserved
28,J3-6,GPIO42,NC,Unused / reserved
29,J3-7,GPIO41,NC,Unused / reserved
30,J3-8,GPIO40,NC,Unused / reserved
31,J3-9,GPIO39,NC,Unused / reserved
32,J3-10,GPIO38,NC,Unused / reserved
33,J3-11,GPIO37/PSRAM,NC,Unused / reserved
34,J3-12,GPIO36/PSRAM,NC,Unused / reserved
35,J3-13,GPIO35/PSRAM,NC,Unused / reserved
36,J3-14,GPIO0/BOOT,NC,Unused / reserved
37,J3-15,GPIO45/STRAP,NC,Unused / reserved
38,J3-16,GPIO48/RGB,NC,Unused / reserved
39,J3-17,GPIO47,NC,Unused / reserved
40,J3-18,GPIO21,NC,Unused / reserved
41,J3-19,GPIO20/USB_D+,NC,Unused / reserved
42,J3-20,GPIO19/USB_D-,NC,Unused / reserved
43,J3-21,GND,GND,Ground
44,J3-22,GND,GND,Ground
