Reference,Qty,Part,Mount,Value / Model,Notes
U1,1,ESP32-S3 development board,Hand/THT sockets,Hosyond ESP32-S3 N16R8,Direct DIP switch GPIO4-GPIO7
"U3,U4",2,DFPlayer Mini modules,Hand/THT sockets,WWZMDiB standard 16-pin,Orient SD card to edge
J26,1,PCA9685 module,Hand/THT headers,Adafruit 16-channel PCA9685 Product 815,Verify actual header orientation
DS1,1,OLED module,Hand/THT header,0.96in SSD1306 128x64 I2C,"Pin order GND,VCC,SCL,SDA; use 3.3V"
J2-J9,8,Shielded right-angle RJ45 8P8C,Hand/THT,90-degree PCB jack,Not Ethernet; verify footprint 1:1
SW1,1,4-position DIP switch,Hand/THT,2.54mm pitch SPST,Each switch grounds one ESP32 GPIO
R30-R33,4,Axial resistor,Hand/THT,10k 1/4W,External pullups for stable cluster ID
U5,1,Logic buffer,Hand/THT,SN74AHCT125N DIP-14,5V-powered WS2812 level shifter
R3,1,Axial resistor,Hand/THT,330R 1/4W,LED data series resistor
R20-R22,3,Axial resistor,Hand/THT,1k 1/4W,Status LED current limiting
D2-D4,3,LED,Hand/THT,3mm LED,Run/network/performance
C1,1,Radial electrolytic,Hand/THT,4700uF 10V low-ESR,At fused 5V entry
C2,1,Radial electrolytic,Hand/THT,1000uF 10V low-ESR,Near controller/module area
C11-C14,4,Radial electrolytic,Hand/THT,100uF 10V,One per two RJ45 ports
J31-J33,3,PIR connector,Hand/THT,JST-XH 3-pin,"5V, signal, GND"
J1,1,Power terminal,Hand/THT,5.08mm 2-pin screw terminal,Use connector rated at least 15A
F1,1,Blade fuse holder,Hand/THT,ATO/ATC 15A holder,Install fuse appropriate to supply/wiring
Q1,1,Reverse-polarity MOSFET,PCBWay SMT or hand hot-air,"High-current P-channel MOSFET, D2PAK",Only intentional SMT power component; verify Rds(on) at Vgs=-4.5V
JP1-JP7,7,2-pin jumper header,Hand/THT,2.54mm,LED chain continue/terminate
"J40-J42,J41",3,Test headers,Hand/THT,2.54mm,Power/I2C/LED
H1-H6,6,Mounting holes,Mechanical,M3,Use standoffs
