Reference,Qty,Value/Part,Footprint,Package,Assembly,Suggested generic spec,Notes
U5,1,74AHCT125 / 74HCT125,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,SOIC-14,PCBWay SMT,"AHCT/HCT quad buffer, 5V VCC",WS2812 level shifter; VCC must be protected 5V; unused inputs tied off
"R3,R4",2,4.7k,Resistor_SMD:R_0805_2012Metric,0805,PCBWay SMT,"1%, >=0.125W",I2C pullups to 3.3V; omit if pullups already populated on modules and bus works
"R5,R6",2,1k,Resistor_SMD:R_0805_2012Metric,0805,PCBWay SMT,"1%, >=0.125W",ESP32 TX to DFPlayer RX series resistors
R11,1,330R,Resistor_SMD:R_0805_2012Metric,0805,PCBWay SMT,"1%, >=0.125W",WS2812 data series resistor near level shifter output
R12,1,100k,Resistor_SMD:R_0805_2012Metric,0805,PCBWay SMT,"1%, >=0.125W",LED data pulldown to GND
"R_ID0,R_ID1,R_ID2,R_ID3",4,10k,Resistor_SMD:R_0805_2012Metric,0805,PCBWay SMT,"1%, >=0.125W",Cluster ID DIP pullups to 3.3V
"R_LED_PWR,R_LED_NET,R_LED_RUN,R_LED_ACT",4,1k,Resistor_SMD:R_0805_2012Metric,0805,PCBWay SMT,"1%, >=0.125W",Status LED current limit resistors
"D_PWR,D_NET,D_RUN,D_ACT",4,LED,LED_SMD:LED_0805_2012Metric,0805,PCBWay SMT,Any visible 0805 LED,Status indicators; verify polarity in schematic
C_LOGIC1-C_LOGIC8,8,0.1uF,Capacitor_SMD:C_0805_2012Metric,0805,PCBWay SMT,"X7R, >=10V","Local decoupling near U5, headers, logic rails"
"C_3V3_1,C_3V3_2",2,10uF,Capacitor_SMD:C_0805_2012Metric,0805,PCBWay SMT,"X7R/X5R, >=10V",3.3V rail local bulk
Q1,1,P-channel MOSFET reverse protection,Package_TO_SOT_SMD:TO-252-2,DPAK/TO-252,PCBWay SMT or hand,">=20A, low Rds(on), logic-level gate safe",Only if footprint/part selected; otherwise hand install or replace with connector polarity discipline
"R_QG,R_QPD",2,100k / gate resistor as designed,Resistor_SMD:R_0805_2012Metric,0805,PCBWay SMT,per PMOS reverse protection design,Gate network for reverse protection
