Net,Source/Destination,Purpose/Notes
5V_IN,See schematic,Main shared net
5V_FUSED,See schematic,Main shared net
5V_PROT,See schematic,Main shared net
3V3,See schematic,Main shared net
GND,See schematic,Main shared net
I2C_SDA,See schematic,Main shared net
I2C_SCL,See schematic,Main shared net
LED_RAW,See schematic,Main shared net
LED_AHCT_OUT,See schematic,Main shared net
D1_LED_IN,See schematic,Main shared net
D1_PAN,PCA9685 CH0 -> RJ45 J2 pin 5,Derek 1 pan servo PWM
D1_LIFT,PCA9685 CH1 -> RJ45 J2 pin 6,Derek 1 lift servo PWM
D1_LED_IN,RJ45 J2 pin 7,Derek 1 WS2812 input
D1_LED_OUT,RJ45 J2 pin 8,Derek 1 WS2812 return/output
D2_PAN,PCA9685 CH2 -> RJ45 J3 pin 5,Derek 2 pan servo PWM
D2_LIFT,PCA9685 CH3 -> RJ45 J3 pin 6,Derek 2 lift servo PWM
D2_LED_IN,RJ45 J3 pin 7,Derek 2 WS2812 input
D2_LED_OUT,RJ45 J3 pin 8,Derek 2 WS2812 return/output
D3_PAN,PCA9685 CH4 -> RJ45 J4 pin 5,Derek 3 pan servo PWM
D3_LIFT,PCA9685 CH5 -> RJ45 J4 pin 6,Derek 3 lift servo PWM
D3_LED_IN,RJ45 J4 pin 7,Derek 3 WS2812 input
D3_LED_OUT,RJ45 J4 pin 8,Derek 3 WS2812 return/output
D4_PAN,PCA9685 CH6 -> RJ45 J5 pin 5,Derek 4 pan servo PWM
D4_LIFT,PCA9685 CH7 -> RJ45 J5 pin 6,Derek 4 lift servo PWM
D4_LED_IN,RJ45 J5 pin 7,Derek 4 WS2812 input
D4_LED_OUT,RJ45 J5 pin 8,Derek 4 WS2812 return/output
D5_PAN,PCA9685 CH8 -> RJ45 J6 pin 5,Derek 5 pan servo PWM
D5_LIFT,PCA9685 CH9 -> RJ45 J6 pin 6,Derek 5 lift servo PWM
D5_LED_IN,RJ45 J6 pin 7,Derek 5 WS2812 input
D5_LED_OUT,RJ45 J6 pin 8,Derek 5 WS2812 return/output
D6_PAN,PCA9685 CH10 -> RJ45 J7 pin 5,Derek 6 pan servo PWM
D6_LIFT,PCA9685 CH11 -> RJ45 J7 pin 6,Derek 6 lift servo PWM
D6_LED_IN,RJ45 J7 pin 7,Derek 6 WS2812 input
D6_LED_OUT,RJ45 J7 pin 8,Derek 6 WS2812 return/output
D7_PAN,PCA9685 CH12 -> RJ45 J8 pin 5,Derek 7 pan servo PWM
D7_LIFT,PCA9685 CH13 -> RJ45 J8 pin 6,Derek 7 lift servo PWM
D7_LED_IN,RJ45 J8 pin 7,Derek 7 WS2812 input
D7_LED_OUT,RJ45 J8 pin 8,Derek 7 WS2812 return/output
D8_PAN,PCA9685 CH14 -> RJ45 J9 pin 5,Derek 8 pan servo PWM
D8_LIFT,PCA9685 CH15 -> RJ45 J9 pin 6,Derek 8 lift servo PWM
D8_LED_IN,RJ45 J9 pin 7,Derek 8 WS2812 input
D8_LED_OUT,RJ45 J9 pin 8,Derek 8 WS2812 return/output
CLUSTER_ID0,ESP32 GPIO4 + DIP switch bit 0,"10k pullup to 3V3, switch to GND"
CLUSTER_ID1,ESP32 GPIO5 + DIP switch bit 1,"10k pullup to 3V3, switch to GND"
CLUSTER_ID2,ESP32 GPIO6 + DIP switch bit 2,"10k pullup to 3V3, switch to GND"
CLUSTER_ID3,ESP32 GPIO7 + DIP switch bit 3,"10k pullup to 3V3, switch to GND"
DF1_RX,DFPlayer 1 RX,From ESP TX through 1k
DF1_TX,DFPlayer 1 TX,To ESP RX
DF1_BUSY,DFPlayer 1 BUSY,To ESP GPIO
DF2_RX,DFPlayer 2 RX,From ESP TX through 1k
DF2_TX,DFPlayer 2 TX,To ESP RX
DF2_BUSY,DFPlayer 2 BUSY,To ESP GPIO
